0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:22 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39482
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:22 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:18:51:24 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [03/May/2021:19:05:53 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39482
0:0:0:0:0:0:0:1 - - [03/May/2021:19:05:53 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:19:08:51 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&cal_mdate= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2021:19:08:54 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&cal_mdate= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2021:19:09:03 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&cal_mdate= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2021:19:09:08 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&cal_mdate= HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:52 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 500 22608
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:55 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 500 22608
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:55 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 500 22608
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:56 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 500 22608
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:58 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:19:28:58 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/semi.do?command=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22613
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/pet/pet_2.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/product/product-1.jpg HTTP/1.1" 304 -
