0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:53 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22964
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:53 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:53 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:57 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:59 +0900] "GET /SemiProject/semi.do?command=lost_insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:17:59 +0900] "GET /SemiProject/lost_insertform.jsp HTTP/1.1" 200 9055
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:18:24 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:18:26 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:31 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:31 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:31 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:37 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 5745
